Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester_app1,2026-03-08 09:18:28.847,0.01,0.0,0.02,0.51,0.13,0.01,0.32,happy
tester_app1,2026-03-08 09:18:28.882,0.01,0.0,0.01,0.71,0.06,0.02,0.19,happy
tester_app1,2026-03-08 09:18:28.918,0.02,0.0,0.03,0.38,0.14,0.02,0.41,neutral
tester_app1,2026-03-08 09:18:28.953,0.01,0.0,0.01,0.52,0.08,0.01,0.37,happy
tester_app1,2026-03-08 09:18:28.988,0.0,0.0,0.01,0.65,0.07,0.02,0.25,happy
tester_app1,2026-03-08 09:18:29.024,0.01,0.0,0.01,0.76,0.07,0.01,0.14,happy
tester_app1,2026-03-08 09:18:29.060,0.01,0.0,0.03,0.41,0.21,0.03,0.31,happy
tester_app1,2026-03-08 09:18:29.095,0.02,0.0,0.02,0.56,0.16,0.01,0.24,happy
tester_app1,2026-03-08 09:18:29.132,0.03,0.0,0.07,0.08,0.12,0.05,0.65,neutral
tester_app1,2026-03-08 09:18:29.168,0.07,0.0,0.15,0.0,0.26,0.01,0.51,neutral
tester_app1,2026-03-08 09:18:29.204,0.05,0.0,0.08,0.0,0.15,0.0,0.71,neutral
tester_app1,2026-03-08 09:18:29.249,0.03,0.0,0.03,0.0,0.07,0.0,0.88,neutral
tester_app1,2026-03-08 09:18:29.296,0.02,0.0,0.02,0.0,0.08,0.0,0.88,neutral
tester_app1,2026-03-08 09:18:29.343,0.02,0.0,0.02,0.0,0.09,0.0,0.87,neutral
tester_app1,2026-03-08 09:18:29.392,0.02,0.0,0.02,0.0,0.11,0.0,0.85,neutral
tester_app1,2026-03-08 09:18:29.439,0.02,0.0,0.02,0.0,0.1,0.0,0.85,neutral
tester_app1,2026-03-08 09:18:29.476,0.02,0.0,0.04,0.0,0.14,0.0,0.81,neutral
tester_app1,2026-03-08 09:18:29.514,0.03,0.0,0.06,0.0,0.11,0.0,0.8,neutral
tester_app1,2026-03-08 09:18:29.553,0.03,0.0,0.03,0.0,0.12,0.0,0.82,neutral
tester_app1,2026-03-08 09:18:29.592,0.03,0.0,0.04,0.0,0.18,0.0,0.74,neutral
tester_app1,2026-03-08 09:18:29.641,0.02,0.0,0.05,0.0,0.23,0.0,0.71,neutral
tester_app1,2026-03-08 09:18:29.687,0.03,0.0,0.04,0.0,0.11,0.0,0.82,neutral
tester_app1,2026-03-08 09:18:29.725,0.03,0.0,0.02,0.0,0.06,0.0,0.89,neutral
tester_app1,2026-03-08 09:18:29.761,0.03,0.0,0.02,0.0,0.06,0.0,0.9,neutral
