Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:50:53.142,neutral,0.89
diego,2026-03-07 18:50:53.177,neutral,0.86
diego,2026-03-07 18:50:53.216,neutral,0.87
diego,2026-03-07 18:50:53.253,neutral,0.91
diego,2026-03-07 18:50:53.290,neutral,0.83
diego,2026-03-07 18:50:53.325,neutral,0.86
diego,2026-03-07 18:50:53.358,neutral,0.8
diego,2026-03-07 18:50:53.393,neutral,0.79
diego,2026-03-07 18:50:53.428,neutral,0.52
diego,2026-03-07 18:50:53.465,neutral,0.47
diego,2026-03-07 18:50:53.499,angry,0.39
diego,2026-03-07 18:50:53.539,surprise,0.29
diego,2026-03-07 18:50:53.577,surprise,0.28
diego,2026-03-07 18:50:53.613,surprise,0.28
diego,2026-03-07 18:50:53.649,surprise,0.88
diego,2026-03-07 18:50:53.683,surprise,0.89
diego,2026-03-07 18:50:53.718,surprise,0.98
diego,2026-03-07 18:50:53.752,surprise,0.97
diego,2026-03-07 18:50:53.788,surprise,0.84
diego,2026-03-07 18:50:53.822,surprise,0.95
diego,2026-03-07 18:50:53.857,surprise,0.89
diego,2026-03-07 18:50:53.891,surprise,0.95
diego,2026-03-07 18:50:53.926,surprise,0.85
diego,2026-03-07 18:50:53.961,surprise,0.8
diego,2026-03-07 18:50:53.995,surprise,0.98
diego,2026-03-07 18:50:54.027,surprise,0.86
diego,2026-03-07 18:50:54.061,surprise,0.94
diego,2026-03-07 18:50:54.096,surprise,0.47
diego,2026-03-07 18:50:54.132,surprise,0.76
diego,2026-03-07 18:50:54.171,surprise,0.7
diego,2026-03-07 18:50:54.207,neutral,0.63
diego,2026-03-07 18:50:54.240,neutral,0.7
diego,2026-03-07 18:50:54.280,neutral,0.76
diego,2026-03-07 18:50:54.315,neutral,0.89
diego,2026-03-07 18:50:54.350,neutral,0.93
diego,2026-03-07 18:50:54.386,neutral,0.93
diego,2026-03-07 18:50:54.422,neutral,0.92
diego,2026-03-07 18:50:54.457,neutral,0.79
diego,2026-03-07 18:50:54.491,neutral,0.87
diego,2026-03-07 18:50:54.533,neutral,0.79
diego,2026-03-07 18:50:54.569,neutral,0.88
diego,2026-03-07 18:50:54.611,neutral,0.72
diego,2026-03-07 18:50:54.646,neutral,0.75
diego,2026-03-07 18:50:54.682,neutral,0.86
diego,2026-03-07 18:50:54.719,neutral,0.82
diego,2026-03-07 18:50:54.756,neutral,0.79
diego,2026-03-07 18:50:54.791,neutral,0.87
diego,2026-03-07 18:50:54.829,neutral,0.83
diego,2026-03-07 18:50:54.869,neutral,0.77
diego,2026-03-07 18:50:54.905,neutral,0.53
diego,2026-03-07 18:50:54.941,neutral,0.8
diego,2026-03-07 18:50:54.980,neutral,0.73
diego,2026-03-07 18:50:55.021,neutral,0.72
diego,2026-03-07 18:50:55.057,neutral,0.8
diego,2026-03-07 18:50:55.093,neutral,0.7
diego,2026-03-07 18:50:55.131,neutral,0.79
diego,2026-03-07 18:50:55.171,neutral,0.87
diego,2026-03-07 18:50:55.206,neutral,0.88
diego,2026-03-07 18:50:55.251,neutral,0.84
diego,2026-03-07 18:50:55.287,neutral,0.79
diego,2026-03-07 18:50:55.322,neutral,0.87
diego,2026-03-07 18:50:55.358,neutral,0.81
diego,2026-03-07 18:50:55.393,neutral,0.71
diego,2026-03-07 18:50:55.430,surprise,0.35
diego,2026-03-07 18:50:55.464,neutral,0.79
diego,2026-03-07 18:50:55.500,neutral,0.85
diego,2026-03-07 18:50:55.536,neutral,0.44
diego,2026-03-07 18:50:55.571,neutral,0.47
diego,2026-03-07 18:50:55.606,neutral,0.49
diego,2026-03-07 18:50:55.641,neutral,0.42
diego,2026-03-07 18:50:55.673,neutral,0.71
diego,2026-03-07 18:50:55.708,neutral,0.83
diego,2026-03-07 18:50:55.740,neutral,0.78
diego,2026-03-07 18:50:55.774,neutral,0.88
diego,2026-03-07 18:50:55.807,neutral,0.84
diego,2026-03-07 18:50:55.841,neutral,0.83
diego,2026-03-07 18:50:55.874,neutral,0.74
diego,2026-03-07 18:50:55.908,neutral,0.64
diego,2026-03-07 18:50:55.941,neutral,0.76
diego,2026-03-07 18:50:55.975,neutral,0.78
diego,2026-03-07 18:50:56.009,neutral,0.82
diego,2026-03-07 18:50:56.041,neutral,0.78
diego,2026-03-07 18:50:56.076,neutral,0.74
diego,2026-03-07 18:50:56.109,neutral,0.7
diego,2026-03-07 18:50:56.142,neutral,0.47
