Usuario,TimeStamp,Emocion,Confianza_en_prediccion
t1,2026-03-07 22:46:04.456,neutral,0.76
t1,2026-03-07 22:46:04.503,neutral,0.76
t1,2026-03-07 22:46:04.550,neutral,0.92
t1,2026-03-07 22:46:04.607,neutral,0.85
t1,2026-03-07 22:46:04.655,neutral,0.68
t1,2026-03-07 22:46:04.705,neutral,0.69
t1,2026-03-07 22:46:04.751,neutral,0.67
t1,2026-03-07 22:46:04.799,neutral,0.68
t1,2026-03-07 22:46:04.847,neutral,0.7
t1,2026-03-07 22:46:04.900,neutral,0.77
t1,2026-03-07 22:46:04.956,neutral,0.88
t1,2026-03-07 22:46:05.019,neutral,0.87
t1,2026-03-07 22:46:05.083,neutral,0.9
t1,2026-03-07 22:46:05.147,neutral,0.84
t1,2026-03-07 22:46:05.212,neutral,0.82
t1,2026-03-07 22:46:05.277,neutral,0.93
t1,2026-03-07 22:46:05.341,neutral,0.92
t1,2026-03-07 22:46:05.396,neutral,0.94
t1,2026-03-07 22:46:05.445,neutral,0.93
t1,2026-03-07 22:46:05.493,neutral,0.9
t1,2026-03-07 22:46:05.539,neutral,0.89
t1,2026-03-07 22:46:05.588,neutral,0.88
t1,2026-03-07 22:46:05.635,neutral,0.92
t1,2026-03-07 22:46:05.681,neutral,0.86
t1,2026-03-07 22:46:05.737,neutral,0.93
t1,2026-03-07 22:46:05.793,neutral,0.91
t1,2026-03-07 22:46:05.842,neutral,0.88
t1,2026-03-07 22:46:05.906,neutral,0.93
t1,2026-03-07 22:46:05.973,neutral,0.94
t1,2026-03-07 22:46:06.023,neutral,0.94
t1,2026-03-07 22:46:06.072,neutral,0.94
t1,2026-03-07 22:46:06.121,neutral,0.87
t1,2026-03-07 22:46:06.168,neutral,0.89
t1,2026-03-07 22:46:06.221,neutral,0.9
t1,2026-03-07 22:46:06.273,neutral,0.94
t1,2026-03-07 22:46:06.324,neutral,0.89
t1,2026-03-07 22:46:06.370,neutral,0.84
t1,2026-03-07 22:46:06.426,neutral,0.85
t1,2026-03-07 22:46:06.474,neutral,0.85
t1,2026-03-07 22:46:06.524,neutral,0.66
t1,2026-03-07 22:46:06.571,neutral,0.82
t1,2026-03-07 22:46:06.630,neutral,0.91
t1,2026-03-07 22:46:06.689,neutral,0.86
t1,2026-03-07 22:46:06.735,neutral,0.92
t1,2026-03-07 22:46:06.782,neutral,0.88
t1,2026-03-07 22:46:06.832,neutral,0.93
t1,2026-03-07 22:46:06.881,neutral,0.83
t1,2026-03-07 22:46:06.935,neutral,0.96
t1,2026-03-07 22:46:06.986,neutral,0.8
t1,2026-03-07 22:46:07.032,neutral,0.84
t1,2026-03-07 22:46:07.079,neutral,0.93
t1,2026-03-07 22:46:07.126,neutral,0.88
t1,2026-03-07 22:46:07.175,neutral,0.89
t1,2026-03-07 22:46:07.232,neutral,0.86
t1,2026-03-07 22:46:07.293,neutral,0.94
t1,2026-03-07 22:46:07.352,neutral,0.82
t1,2026-03-07 22:46:07.416,neutral,0.92
t1,2026-03-07 22:46:07.467,neutral,0.91
t1,2026-03-07 22:46:07.525,neutral,0.91
t1,2026-03-07 22:46:07.588,neutral,0.86
t1,2026-03-07 22:46:07.649,neutral,0.91
t1,2026-03-07 22:46:07.701,neutral,0.91
t1,2026-03-07 22:46:07.755,neutral,0.82
t1,2026-03-07 22:46:07.805,neutral,0.95
t1,2026-03-07 22:46:07.853,neutral,0.95
t1,2026-03-07 22:46:07.906,neutral,0.94
t1,2026-03-07 22:46:07.957,neutral,0.88
t1,2026-03-07 22:46:08.006,neutral,0.96
t1,2026-03-07 22:46:08.055,neutral,0.92
t1,2026-03-07 22:46:08.114,neutral,0.89
t1,2026-03-07 22:46:08.180,neutral,0.89
t1,2026-03-07 22:46:08.242,neutral,0.86
t1,2026-03-07 22:46:08.300,neutral,0.83
t1,2026-03-07 22:46:08.355,neutral,0.91
t1,2026-03-07 22:46:08.415,neutral,0.91
t1,2026-03-07 22:46:08.477,neutral,0.88
t1,2026-03-07 22:46:08.536,neutral,0.93
t1,2026-03-07 22:46:08.590,neutral,0.89
t1,2026-03-07 22:46:08.650,neutral,0.93
t1,2026-03-07 22:46:08.712,neutral,0.95
t1,2026-03-07 22:46:08.758,neutral,0.91
t1,2026-03-07 22:46:08.807,neutral,0.89
t1,2026-03-07 22:46:08.853,neutral,0.82
t1,2026-03-07 22:46:08.908,neutral,0.88
t1,2026-03-07 22:46:08.968,neutral,0.87
t1,2026-03-07 22:46:09.035,neutral,0.88
t1,2026-03-07 22:46:09.093,neutral,0.84
t1,2026-03-07 22:46:09.141,neutral,0.89
t1,2026-03-07 22:46:09.190,neutral,0.94
t1,2026-03-07 22:46:09.251,neutral,0.95
t1,2026-03-07 22:46:09.303,neutral,0.88
t1,2026-03-07 22:46:09.368,neutral,0.93
t1,2026-03-07 22:46:09.421,neutral,0.91
t1,2026-03-07 22:46:09.481,neutral,0.87
t1,2026-03-07 22:46:09.531,neutral,0.92
t1,2026-03-07 22:46:09.581,neutral,0.89
t1,2026-03-07 22:46:09.635,neutral,0.87
t1,2026-03-07 22:46:09.686,neutral,0.92
t1,2026-03-07 22:46:09.736,neutral,0.81
t1,2026-03-07 22:46:09.789,neutral,0.88
t1,2026-03-07 22:46:09.840,neutral,0.88
t1,2026-03-07 22:46:09.893,neutral,0.9
t1,2026-03-07 22:46:09.953,neutral,0.88
t1,2026-03-07 22:46:10.003,neutral,0.9
t1,2026-03-07 22:46:10.063,neutral,0.87
t1,2026-03-07 22:46:10.161,neutral,0.9
t1,2026-03-07 22:46:10.214,neutral,0.9
t1,2026-03-07 22:46:10.266,neutral,0.87
t1,2026-03-07 22:46:10.318,neutral,0.85
t1,2026-03-07 22:46:10.365,neutral,0.91
t1,2026-03-07 22:46:10.413,neutral,0.88
t1,2026-03-07 22:46:10.462,neutral,0.9
t1,2026-03-07 22:46:10.509,neutral,0.85
t1,2026-03-07 22:46:10.558,neutral,0.89
t1,2026-03-07 22:46:10.610,neutral,0.87
t1,2026-03-07 22:46:10.664,neutral,0.79
t1,2026-03-07 22:46:10.711,neutral,0.87
t1,2026-03-07 22:46:10.764,neutral,0.88
t1,2026-03-07 22:46:10.821,neutral,0.94
t1,2026-03-07 22:46:10.871,neutral,0.89
t1,2026-03-07 22:46:10.927,neutral,0.92
t1,2026-03-07 22:46:10.977,neutral,0.89
t1,2026-03-07 22:46:11.022,neutral,0.88
t1,2026-03-07 22:46:11.071,neutral,0.94
t1,2026-03-07 22:46:11.133,neutral,0.95
t1,2026-03-07 22:46:11.182,neutral,0.9
t1,2026-03-07 22:46:11.234,neutral,0.88
t1,2026-03-07 22:46:11.288,neutral,0.94
t1,2026-03-07 22:46:11.346,neutral,0.93
t1,2026-03-07 22:46:11.398,neutral,0.84
t1,2026-03-07 22:46:11.450,neutral,0.83
t1,2026-03-07 22:46:11.496,neutral,0.93
t1,2026-03-07 22:46:11.548,neutral,0.95
t1,2026-03-07 22:46:11.603,neutral,0.9
t1,2026-03-07 22:46:11.660,neutral,0.95
t1,2026-03-07 22:46:11.715,neutral,0.9
t1,2026-03-07 22:46:11.764,neutral,0.95
t1,2026-03-07 22:46:11.813,neutral,0.97
t1,2026-03-07 22:46:11.865,neutral,0.91
t1,2026-03-07 22:46:11.909,neutral,0.88
t1,2026-03-07 22:46:11.965,neutral,0.93
t1,2026-03-07 22:46:12.015,neutral,0.88
t1,2026-03-07 22:46:12.060,neutral,0.88
t1,2026-03-07 22:46:12.108,neutral,0.88
